updated,power_value
2019-01-03 12:17:45,105154.2
2019-01-03 12:27:45,105157.2
2019-01-03 12:37:45,105159.6
2019-01-03 12:47:45,105162.5
2019-01-03 12:57:45,105165.6
2019-01-03 13:07:45,105168.9
2019-01-03 13:17:45,105170.8
2019-01-03 13:27:45,105175.2
2019-01-03 13:37:45,105176.5
2019-01-03 13:47:45,105179.7
2019-01-03 13:57:45,105182.4
2019-01-03 14:07:45,105185.5
2019-01-03 14:17:45,105188.4
2019-01-03 14:27:45,105190.09999999999
2019-01-03 14:37:45,105191.8
2019-01-03 14:47:45,105194.7
2019-01-03 14:57:45,105197.8
2019-01-03 15:07:45,105200.3
2019-01-03 15:17:45,105203.8
2019-01-03 15:27:45,105206.1
2019-01-03 15:37:45,105207.8
2019-01-03 15:47:45,105211.5
2019-01-03 15:57:45,105213.7
2019-01-03 16:07:45,105216.1
2019-01-03 16:17:45,105218.9
2019-01-03 16:27:45,105221.4
2019-01-03 16:37:45,105224.40000000001
2019-01-03 16:47:45,105227.7
2019-01-03 16:57:45,105230.1
2019-01-03 17:07:45,105232.8
2019-01-03 17:17:45,105235.3
2019-01-03 17:27:45,105238.2
2019-01-03 17:37:45,105242.59999999999
2019-01-03 17:47:45,105246.09999999999
2019-01-03 17:57:45,105249.5
2019-01-03 18:07:45,105251.9
2019-01-03 18:17:45,105256.7
2019-01-03 18:27:45,105259.4
2019-01-03 18:37:45,105262.90000000001
2019-01-03 18:47:45,105266.7
2019-01-03 18:57:45,105269.0
2019-01-03 19:07:45,105273.6
2019-01-03 19:17:45,105276.6
2019-01-03 19:27:45,105280.9
2019-01-03 19:37:45,105285.0
2019-01-03 19:47:45,105288.40000000001
2019-01-03 19:57:45,105290.6
2019-01-03 20:07:45,105293.90000000001
2019-01-03 20:17:45,105297.8
2019-01-03 20:27:45,105302.0
2019-01-03 20:37:45,105306.2
2019-01-03 20:47:45,105310.6
2019-01-03 20:57:45,105314.09999999999
2019-01-03 21:07:45,105317.70000000001
2019-01-03 21:17:45,105320.1
2019-01-03 21:27:45,105321.8
2019-01-03 21:37:45,105325.8
2019-01-03 21:47:45,105327.9
2019-01-03 21:57:45,105329.0
2019-01-03 22:07:45,105330.6
2019-01-03 22:17:45,105341.79999999999
2019-01-03 22:27:45,105343.4
2019-01-03 22:37:45,105347.9
2019-01-03 22:47:45,105351.3
2019-01-03 22:57:45,105352.59999999999
2019-01-03 23:07:45,105354.4
2019-01-03 23:17:45,105361.4
2019-01-03 23:27:45,105365.5
2019-01-03 23:37:45,105369.0
2019-01-03 23:47:45,105372.8
2019-01-03 23:57:45,105378.2
2019-01-04 00:07:45,105381.90000000001
2019-01-04 00:17:45,105384.8
2019-01-04 00:27:45,105388.9
2019-01-04 00:37:45,105391.3
2019-01-04 00:47:45,105393.7
2019-01-04 00:57:45,105395.7
2019-01-04 01:07:45,105397.5
2019-01-04 01:17:45,105399.29999999999
2019-01-04 01:27:45,105400.2
2019-01-04 01:37:45,105401.0
2019-01-04 01:47:45,105402.79999999999
2019-01-04 01:57:45,105404.79999999999
2019-01-04 02:07:45,105422.09999999999
2019-01-04 02:17:45,105424.9
2019-01-04 02:27:45,105427.9
2019-01-04 02:37:45,105432.5
2019-01-04 02:47:45,105435.59999999999
2019-01-04 02:57:45,105437.90000000001
2019-01-04 03:07:45,105442.9
2019-01-04 03:17:45,105444.6
2019-01-04 03:27:45,105448.5
2019-01-04 03:37:45,105453.6
2019-01-04 03:47:45,105456.1
2019-01-04 03:57:45,105460.0
2019-01-04 04:07:45,105463.4
2019-01-04 04:17:45,105467.09999999999
2019-01-04 04:27:45,105470.1
2019-01-04 04:37:45,105472.8
2019-01-04 04:47:45,105475.7
2019-01-04 04:57:45,105479.7
2019-01-04 05:07:45,105483.09999999999
2019-01-04 05:17:45,105487.3
2019-01-04 05:27:45,105489.59999999999
2019-01-04 05:37:45,105493.6
2019-01-04 05:47:45,105497.0
2019-01-04 05:57:45,105499.4
2019-01-04 06:07:45,105502.3
2019-01-04 06:17:45,105505.5
2019-01-04 06:27:45,105508.3
2019-01-04 06:37:45,105512.8
2019-01-04 06:47:45,105515.9
2019-01-04 06:57:45,105518.8
2019-01-04 07:07:45,105523.1
2019-01-04 07:17:45,105526.09999999999
2019-01-04 07:27:45,105530.3
2019-01-04 07:37:45,105533.0
2019-01-04 07:47:45,105538.1
2019-01-04 07:57:45,105540.8
2019-01-04 08:07:45,105544.1
2019-01-04 08:17:45,105547.6
2019-01-04 08:27:45,105549.9
2019-01-04 08:37:45,105551.5
2019-01-04 08:47:45,105555.4
2019-01-04 08:57:45,105560.1
2019-01-04 09:07:45,105564.09999999999
2019-01-04 09:17:45,105568.9
2019-01-04 09:27:45,105571.3
2019-01-04 09:37:45,105574.2
2019-01-04 09:47:45,105576.1
2019-01-04 09:57:45,105580.5
2019-01-04 10:07:45,105583.0
2019-01-04 10:15:53,105584.1
2019-01-04 10:25:53,105587.8
2019-01-04 10:35:53,105592.1
2019-01-04 10:45:53,105595.6
2019-01-04 10:55:53,105600.40000000001
2019-01-04 11:05:53,105603.6
2019-01-04 11:15:53,105606.29999999999
2019-01-04 11:25:53,105608.09999999999
2019-01-04 11:35:53,105610.4
2019-01-04 11:45:53,105612.79999999999
2019-01-04 11:55:53,105619.5
2019-01-04 12:05:53,105625.2
2019-01-04 12:15:53,105629.0
2019-01-04 12:25:53,105632.6
2019-01-04 12:35:53,105637.0
2019-01-04 12:45:53,105640.0
2019-01-04 12:55:53,105644.59999999999
2019-01-04 13:05:53,105649.1
2019-01-04 13:15:53,105652.8
2019-01-04 13:25:53,105657.0
2019-01-04 13:35:53,105660.0
2019-01-04 13:45:53,105663.6
2019-01-04 13:55:53,105667.3
2019-01-04 14:05:53,105671.0
2019-01-04 14:15:53,105675.1
2019-01-04 14:25:53,105678.3
2019-01-04 14:35:53,105681.2
2019-01-04 14:45:53,105683.90000000001
2019-01-04 14:55:53,105688.3
2019-01-04 15:05:53,105692.90000000001
2019-01-04 15:15:53,105696.20000000001
2019-01-04 15:25:53,105700.2
2019-01-04 15:35:53,105703.2
2019-01-04 15:45:53,105707.2
2019-01-04 15:55:53,105712.2
2019-01-04 16:05:53,105715.1
2019-01-04 16:15:53,105716.5
2019-01-04 16:25:53,105721.7
2019-01-04 16:35:53,105723.2
2019-01-04 16:45:53,105729.8
2019-01-04 16:55:53,105733.70000000001
2019-01-04 17:05:53,105738.1
2019-01-04 17:15:53,105742.3
2019-01-04 17:25:53,105744.2
2019-01-04 17:35:53,105747.3
2019-01-04 17:45:53,105750.5
2019-01-04 17:55:53,105753.3
2019-01-04 18:05:53,105756.70000000001
